year,book,author,language
2023,Dr. Pranavjyoti Dekar Srestha Galpa (Short Stories),Pranavjyoti Deka,ASSAMESE
2022,Bhool Satya (Short Stories),Manoj Kumar Goswami ,ASSAMESE
2021,Iyat Ekhan Aaronya Asil (Novel) ,Anuradha Sarma Pujari ,ASSAMESE
2020,Bengsata (Short Stories),Apurba Kumar Saikia,ASSAMESE
2019,Chanakya (Novel),Joysree Goswami Mahanta,ASSAMESE
2018,Kailoir Dinto Amar Hobo (Poetry),Sananta Tanti ,ASSAMESE
2017,Moriahola (Novel),Jayanta Madhab Bora,ASSAMESE
2016,Meghmalar Bhraman (Poetry),Jnan Pujari,ASSAMESE
2015,Akashar Chhabi Aru Anyanya Galpa (Short Stories),Kula Saikia,ASSAMESE
2014,Mariam Astin Athaba Hira Barua(Short Stories),Arupa Patangia Kalita,ASSAMESE
2012,Patkair Ipare Mor Desh (Novel),Chandana Goswami,ASSAMESE
2011,Ei Anuragi Ei Udasi (Poetry),*Kabin Phukan,ASSAMESE
2010,Asomiya Ramayani Sahitya: Kathabostur Atiguri (Criticism),Keshada Mahanta,ASSAMESE
2009,Katha Ratnakara (Novel),Dhruba Jyoti Bora,ASSAMESE
2008,Deou Langkhui (Novel),Rita Choudhury,ASSAMESE
2007,Santanukulanandan (Novel),Purabi Bormudoi,ASSAMESE
2006,Cheneh Jorir Ganthi (Short stories),Atulananda Goswami,ASSAMESE
2005,Mouna Ounth Mukhar Hriday (Novel),Yeshe Dorje Thongchi,ASSAMESE
2004,Manuh Anukule (Poetry),Hirendra Nath Dutta,ASSAMESE
2003,Anek Manuh Anek Aru Nirjanata (Poetry),Bireswar Barua,ASSAMESE
2002,Mahat Oitiyya (Criticism),Nalinidhar Bhattacharyya,ASSAMESE
2001,Edhani Mahir Hanhi (Novel),Mahim Bora,ASSAMESE
2000,Baghe Tapur Rati (Short stories),Apurba Sarma,ASSAMESE
1999,Biponna Samay (Novel),Medini Choudhury,ASSAMESE
1998,Asirbadar Rang (Novel),Arun Sarma,ASSAMESE
1997,Andharat Nijar Mukh (Short stories),Nagen Saikia,ASSAMESE
1996,Abhijatri (Novel),Nirupama Borgohain,ASSAMESE
1995,Maharathi (Novel),Chandra Prasad Saikia,ASSAMESE
1994,Madhupur Bahudur (Short stories),Sheelbhadra (Rabati Mohan Datta Choudhury),ASSAMESE
1993,Mor Je Kiman Hepah (Poetry),Keshav Mahanta,ASSAMESE
1992,Shaichar Pathar Manuh (Poetry),Hiren Bhattacharjya,ASSAMESE
1991,Brahmaputra Ityadi Padya (Poetry),Ajit Barua,ASSAMESE
1990,Snehadevir Ekuki Galpa (Short stories),*Sneha Devi,ASSAMESE
1989,Asamiya Jatiya Jivanata Mahapurushiya Parampara (Literary criticism),Hiren Gohain,ASSAMESE
1988,Patal Bahirabi (Novel),Lakshminandan Bora,ASSAMESE
1987,Aan Ejan (Poetry),Harekrishna Deka,ASSAMESE
1986,Benudhar Sarma (Biography),Tirthanath Sarma,ASSAMESE
1985,Krishna Kanta Handiqui Rachna-Sambhar (Literary criticism),*Krishnakanta Handiqui,ASSAMESE
1984,Jangam (Novel),*Devendra Nath Acharya,ASSAMESE
1983,Sudirgha Din Aru Ritu (Poetry),Nirmalprabha Bardoloi,ASSAMESE
1982,Mamare Dhara Tarowal Aru Dukhan Upanyasa (Novel),Indira Goswami (Mamoni Raisom Goswami),ASSAMESE
1981,Kavita (Poetry),Nilamani Phookan ( Jr.),ASSAMESE
1980,Prithibir Asukh (Short stories),Jogesh Das,ASSAMESE
1979,Sonali Jahaj (Poetry),Bhaben Barua,ASSAMESE
1978,Pita Putra (Novel),Homen Borgohain,ASSAMESE
1977,Bakul Banar Kavita (Poetry),Anand Chandra Barua,ASSAMESE
1976,Srinkhal (Short stories),Bhabendra Nath Saikia,ASSAMESE
1975,Kaka Deutar Har (Novel),Navakanta Barua,ASSAMESE
1974,Golam (Short stories),Saurabh Kumar Chaliha,ASSAMESE
1972,Aghari Atmar Kahini (Novel),Syed Abdul Malik,ASSAMESE
