Year,Category,Book,Author,Language,Notes
2023,Short Stories,Dr. Pranavjyoti Dekar Srestha Galpa,Pranavjyoti Deka,ASSAMESE,
2022,Short Stories,Bhool Satya,Manoj Kumar Goswami ,ASSAMESE,
2021,Novel,Iyat Ekhan Aaronya Asil ,Anuradha Sarma Pujari ,ASSAMESE,
2020,Short Stories,Bengsata,Apurba Kumar Saikia,ASSAMESE,
2019,Novel,Chanakya,Joysree Goswami Mahanta,ASSAMESE,
2018,Poetry,Kailoir Dinto Amar Hobo,Sananta Tanti ,ASSAMESE,
2017,Novel,Moriahola,Jayanta Madhab Bora,ASSAMESE,
2016,Poetry,Meghmalar Bhraman,Jnan Pujari,ASSAMESE,
2015,Short Stories,Akashar Chhabi Aru Anyanya Galpa,Kula Saikia,ASSAMESE,
2014,Short Stories,Mariam Astin Athaba Hira Barua,Arupa Patangia Kalita,ASSAMESE,
2012,Novel,Patkair Ipare Mor Desh,Chandana Goswami,ASSAMESE,
2011,Poetry,Ei Anuragi Ei Udasi,Kabin Phukan,ASSAMESE,Awarded Posthumously
2010,Criticism,Asomiya Ramayani Sahitya: Kathabostur Atiguri,Keshada Mahanta,ASSAMESE,
2009,Novel,Katha Ratnakara,Dhruba Jyoti Bora,ASSAMESE,
2008,Novel,Deou Langkhui,Rita Choudhury,ASSAMESE,
2007,Novel,Santanukulanandan,Purabi Bormudoi,ASSAMESE,
2006,Short stories,Cheneh Jorir Ganthi,Atulananda Goswami,ASSAMESE,
2005,Novel,Mouna Ounth Mukhar Hriday,Yeshe Dorje Thongchi,ASSAMESE,
2004,Poetry,Manuh Anukule,Hirendra Nath Dutta,ASSAMESE,
2003,Poetry,Anek Manuh Anek Aru Nirjanata,Bireswar Barua,ASSAMESE,
2002,Criticism,Mahat Oitiyya,Nalinidhar Bhattacharyya,ASSAMESE,
2001,Novel,Edhani Mahir Hanhi,Mahim Bora,ASSAMESE,
2000,Short stories,Baghe Tapur Rati,Apurba Sarma,ASSAMESE,
1999,Novel,Biponna Samay,Medini Choudhury,ASSAMESE,
1998,Novel,Asirbadar Rang,Arun Sarma,ASSAMESE,
1997,Short stories,Andharat Nijar Mukh,Nagen Saikia,ASSAMESE,
1996,Novel,Abhijatri,Nirupama Borgohain,ASSAMESE,
1995,Novel,Maharathi,Chandra Prasad Saikia,ASSAMESE,
1994,Short stories,Madhupur Bahudur,Sheelbhadra Rabati Mohan Datta Choudhury,ASSAMESE,
1993,Poetry,Mor Je Kiman Hepah,Keshav Mahanta,ASSAMESE,
1992,Poetry,Shaichar Pathar Manuh,Hiren Bhattacharjya,ASSAMESE,
